,seqNum,date,time,askPrice5,askPrice4,askPrice3,askPrice2,askPrice1,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askSize5,askSize4,askSize3,askSize2,askSize1,bidSize1,bidSize2,bidSize3,bidSize4,bidSize5,deriveFlag,deriveBuyPrice,deriveSellPrice,deriveBuyQty,deriveSellQty
48,9552,2019-04-01,84531940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,88,50,72,74,74,65,55,52,1,24650,24850,1,12
49,9606,2019-04-01,84532315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,93,50,72,74,74,65,55,52,1,24650,24850,1,12
50,9765,2019-04-01,84533565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,93,50,72,75,74,65,55,52,1,24650,24850,1,12
51,9819,2019-04-01,84533940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,50,72,75,74,65,55,52,1,24650,24850,1,12
52,9898,2019-04-01,84534440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,60,72,75,74,65,55,52,1,24650,24850,1,12
53,10456,2019-04-01,84538190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,60,72,75,74,65,55,52,1,24650,24850,1,12
54,10517,2019-04-01,84538565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,60,60,75,74,65,55,52,1,24650,24850,1,12
55,10780,2019-04-01,84540315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,48,60,75,74,65,55,52,1,24650,24850,1,12
56,10840,2019-04-01,84540690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,60,75,74,65,55,52,1,24650,24850,1,12
57,10987,2019-04-01,84541565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,60,75,74,66,55,52,1,24650,24850,1,12
58,11023,2019-04-01,84541815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,60,75,74,66,55,52,1,24650,24850,1,11
59,11045,2019-04-01,84541940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,59,75,74,66,55,52,1,24650,24850,1,11
60,11148,2019-04-01,84542690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,59,75,74,66,55,52,1,24650,24850,1,11
61,11163,2019-04-01,84542815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,46,56,48,59,75,74,66,55,52,1,24650,24850,1,11
62,11181,2019-04-01,84542940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,46,56,48,60,75,74,66,55,52,1,24650,24850,1,11
63,11223,2019-04-01,84543190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,51,56,48,60,75,74,66,55,52,1,24650,24850,1,6
